representation,target,label_source,label_source_display,model,model_display_name,training_classes,class_label,precision,recall,f1,support,seen_during_training
Sentence-BERT,category,llm,LLM labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,entertainment,0.1111111111111111,0.75,0.1935483870967742,12,True
Sentence-BERT,category,llm,LLM labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,health,0.05555555555555555,0.5,0.1,10,True
Sentence-BERT,category,llm,LLM labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,news,0.7298850574712644,0.3944099378881988,0.5120967741935484,322,True
Sentence-BERT,category,llm,LLM labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,politics,0.09836065573770492,0.8,0.17518248175182483,15,True
Sentence-BERT,category,llm,LLM labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,sport,0.9840255591054313,0.7064220183486238,0.822429906542056,436,True
Sentence-BERT,category,llm,LLM labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,business,0.5882352941176471,0.47619047619047616,0.5263157894736842,21,True
Sentence-BERT,category,llm,LLM labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,entertainment,0.3125,0.8333333333333334,0.45454545454545453,12,True
Sentence-BERT,category,llm,LLM labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,health,0.061224489795918366,0.3,0.1016949152542373,10,True
Sentence-BERT,category,llm,LLM labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,news,0.7424892703862661,0.5372670807453416,0.6234234234234234,322,True
Sentence-BERT,category,llm,LLM labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,politics,0.10526315789473684,0.8,0.18604651162790697,15,True
Sentence-BERT,category,llm,LLM labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,sport,0.9757412398921833,0.8302752293577982,0.8971499380421314,436,True
Sentence-BERT,category,real,CNN labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,business,0.6538461538461539,0.8095238095238095,0.723404255319149,21,True
Sentence-BERT,category,real,CNN labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,entertainment,0.5,0.8333333333333334,0.625,12,True
Sentence-BERT,category,real,CNN labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,health,0.25806451612903225,0.8,0.3902439024390244,10,True
Sentence-BERT,category,real,CNN labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,news,0.9491525423728814,0.8695652173913043,0.9076175040518638,322,True
Sentence-BERT,category,real,CNN labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,politics,0.7058823529411765,0.8,0.75,15,True
Sentence-BERT,category,real,CNN labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,sport,0.9812646370023419,0.9610091743119266,0.9710312862108922,436,True
Sentence-BERT,category,real,CNN labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,business,0.7894736842105263,0.7142857142857143,0.75,21,True
Sentence-BERT,category,real,CNN labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,entertainment,0.6428571428571429,0.75,0.6923076923076923,12,True
Sentence-BERT,category,real,CNN labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,health,0.6,0.3,0.4,10,True
Sentence-BERT,category,real,CNN labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,news,0.9171597633136095,0.9627329192546584,0.9393939393939394,322,True
Sentence-BERT,category,real,CNN labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,politics,0.9166666666666666,0.7333333333333333,0.8148148148148148,15,True
Sentence-BERT,category,real,CNN labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,sport,0.985981308411215,0.9678899082568807,0.9768518518518519,436,True
Sentence-BERT,category,real,CNN labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,business,0.0,0.0,0.0,21,True
Sentence-BERT,category,real,CNN labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,entertainment,0.0,0.0,0.0,12,True
Sentence-BERT,category,real,CNN labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,health,0.0,0.0,0.0,10,True
Sentence-BERT,category,real,CNN labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,news,0.8623595505617978,0.953416149068323,0.9056047197640118,322,True
Sentence-BERT,category,real,CNN labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,politics,1.0,0.26666666666666666,0.42105263157894735,15,True
Sentence-BERT,category,real,CNN labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,sport,0.9407894736842105,0.9839449541284404,0.9618834080717489,436,True
Sentence-BERT,category,real,CNN labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,business,0.8,0.7619047619047619,0.7804878048780488,21,True
Sentence-BERT,category,real,CNN labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,entertainment,0.5882352941176471,0.8333333333333334,0.6896551724137931,12,True
Sentence-BERT,category,real,CNN labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,health,0.2727272727272727,0.3,0.2857142857142857,10,True
Sentence-BERT,category,real,CNN labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,news,0.9433962264150944,0.9316770186335404,0.9375,322,True
Sentence-BERT,category,real,CNN labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,politics,0.8571428571428571,0.8,0.8275862068965517,15,True
Sentence-BERT,category,real,CNN labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,sport,0.9770642201834863,0.9770642201834863,0.9770642201834863,436,True
Sentence-BERT,category,real,CNN labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,business,1.0,0.14285714285714285,0.25,21,True
Sentence-BERT,category,real,CNN labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,entertainment,1.0,0.4166666666666667,0.5882352941176471,12,True
Sentence-BERT,category,real,CNN labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,health,0.0,0.0,0.0,10,True
Sentence-BERT,category,real,CNN labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,news,0.8853868194842407,0.9596273291925466,0.9210134128166915,322,True
Sentence-BERT,category,real,CNN labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,politics,0.9166666666666666,0.7333333333333333,0.8148148148148148,15,True
Sentence-BERT,category,real,CNN labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,sport,0.9574944071588367,0.981651376146789,0.9694224235560589,436,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,africa,0.4444444444444444,0.4444444444444444,0.4444444444444444,9,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,americas,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,asia,0.0,0.0,0.0,2,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,australia,0.7058823529411765,0.7741935483870968,0.7384615384615385,31,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,business,0.2413793103448276,0.875,0.3783783783783784,8,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,business-food,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,business-money,0.0,0.0,0.0,1,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,celebrities,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,china,0.25,1.0,0.4,1,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,economy,0.0,0.0,0.0,1,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,energy,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,entertainment,0.0,0.0,0.0,11,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,europe,0.9,0.33962264150943394,0.4931506849315068,159,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,football,0.5576923076923077,0.75,0.6397058823529411,116,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,golf,0.8928571428571429,0.9615384615384616,0.9259259259259259,26,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,health,0.0196078431372549,0.1,0.03278688524590164,10,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,homes,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,india,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,intl_world,0.0,0.0,0.0,1,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,investing,0.0,0.0,0.0,1,False
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,living,0.0,0.0,0.0,1,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,media,0.0,0.0,0.0,1,False
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,middleeast,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,motorsport,0.9565217391304348,0.9166666666666666,0.9361702127659575,24,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,movies,0.043478260869565216,1.0,0.08333333333333333,1,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,opinions,0.5,0.5384615384615384,0.5185185185185185,13,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,perspectives,0.0,0.0,0.0,5,False
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,politics,0.15942028985507245,0.7333333333333333,0.2619047619047619,15,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,sport,0.9482758620689655,0.2320675105485232,0.3728813559322034,237,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,success,0.0,0.0,0.0,3,False
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,tech,0.0,0.0,0.0,1,False
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,tennis,0.896551724137931,0.7878787878787878,0.8387096774193549,33,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,uk,0.75,0.527027027027027,0.6190476190476191,74,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,us,0.07142857142857142,0.13636363636363635,0.09375,22,True
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,weather,0.0,0.0,0.0,1,False
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,world,0.0,0.0,0.0,8,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,africa,0.0,0.0,0.0,9,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,americas,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,asia,0.0,0.0,0.0,2,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,australia,0.7142857142857143,0.3225806451612903,0.4444444444444444,31,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,business,0.2692307692307692,0.875,0.4117647058823529,8,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,business-food,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,business-money,0.0,0.0,0.0,1,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,celebrities,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,china,0.0,0.0,0.0,1,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,economy,0.0,0.0,0.0,1,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,energy,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,entertainment,0.0,0.0,0.0,11,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,europe,0.8888888888888888,0.3018867924528302,0.4507042253521127,159,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,football,0.396,0.853448275862069,0.5409836065573771,116,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,golf,0.8571428571428571,0.46153846153846156,0.6,26,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,health,0.04938271604938271,0.4,0.08791208791208792,10,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,homes,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,india,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,intl_world,0.0,0.0,0.0,1,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,investing,0.0,0.0,0.0,1,False
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,living,0.0,0.0,0.0,1,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,media,0.0,0.0,0.0,1,False
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,middleeast,0.0,0.0,0.0,0,True
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,motorsport,1.0,0.08333333333333333,0.15384615384615385,24,True
