representation,target,label_source,label_source_display,model,model_display_name,training_classes,test_rows,training_class_count,evaluation_class_count,unseen_test_class_count,unseen_test_classes,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,prediction_time_seconds,predictions_per_second,model_path,classification_report_path,confusion_matrix_table_path,confusion_matrix_figure_path,status
Sentence-BERT,section,llm,LLM labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,816,30,36,6,investing | media | perspectives | success | tech | weather,0.4497549019607843,0.3488481929709982,0.23159832913632483,0.28101659989330413,0.21603247829617736,0.7384269342990836,0.4497549019607843,0.4956877132748061,0.0016050999984145164,508379.54071772937,models\sentence_bert\section\llm\logistic.pkl,results\tables\sentence_bert\classification_reports\section_llm_logistic.csv,results\tables\sentence_bert\confusion_matrices\section_llm_logistic.csv,results\figures\sentence_bert\confusion_matrices\section_llm_logistic.png,success
Sentence-BERT,section,llm,LLM labels,svm,Linear SVM,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,816,30,36,6,investing | media | perspectives | success | tech | weather,0.3786764705882353,0.2890802825642242,0.2104162449641086,0.2328702276211806,0.16966798239392594,0.657552958524939,0.3786764705882353,0.4087734238788657,0.001680899877101183,485454.25644699496,models\sentence_bert\section\llm\svm.pkl,results\tables\sentence_bert\classification_reports\section_llm_svm.csv,results\tables\sentence_bert\confusion_matrices\section_llm_svm.csv,results\figures\sentence_bert\confusion_matrices\section_llm_svm.png,success
Sentence-BERT,section,llm,LLM labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,816,30,36,6,investing | media | perspectives | success | tech | weather,0.3272058823529412,0.2071553306971367,0.18425188038105314,0.1668751275060268,0.11292701671844409,0.6167601881232545,0.3272058823529412,0.3395860484352011,0.0034005995839834213,239957.6838870713,models\sentence_bert\section\llm\neural_network.pkl,results\tables\sentence_bert\classification_reports\section_llm_neural_network.csv,results\tables\sentence_bert\confusion_matrices\section_llm_neural_network.csv,results\figures\sentence_bert\confusion_matrices\section_llm_neural_network.png,success
Sentence-BERT,section,llm,LLM labels,xgboost,XGBoost,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,816,30,36,6,investing | media | perspectives | success | tech | weather,0.31985294117647056,0.1672799344462418,0.15570829405132802,0.13475328052613922,0.10423819197757478,0.5622304578116465,0.31985294117647056,0.31374766547025484,0.013693700078874826,59589.445898471036,models\sentence_bert\section\llm\xgboost.pkl,results\tables\sentence_bert\classification_reports\section_llm_xgboost.csv,results\tables\sentence_bert\confusion_matrices\section_llm_xgboost.csv,results\figures\sentence_bert\confusion_matrices\section_llm_xgboost.png,success
Sentence-BERT,section,llm,LLM labels,random_forest,Random Forest,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,816,30,36,6,investing | media | perspectives | success | tech | weather,0.20833333333333334,0.0882546101979916,0.1198793699126823,0.07109399154838213,0.040929441487801164,0.4642314371119463,0.20833333333333334,0.14307015338317144,0.061942100059241056,13173.592745799424,models\sentence_bert\section\llm\random_forest.pkl,results\tables\sentence_bert\classification_reports\section_llm_random_forest.csv,results\tables\sentence_bert\confusion_matrices\section_llm_random_forest.csv,results\figures\sentence_bert\confusion_matrices\section_llm_random_forest.png,success
Sentence-BERT,section,real,CNN labels,logistic,Logistic Regression,africa | americas | asia | australia | business | business-food | business-money | cars | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | investing | living | media | middleeast | motorsport | opinions | perspectives | politics | sport | success | tech | tennis | uk | us | weather | world,816,35,37,2,intl_world | movies,0.8112745098039216,0.55422153738071,0.361437866458127,0.43438985362271865,0.38192978685047024,0.8440512422898988,0.8112745098039216,0.8192122118373556,0.0017475998029112816,466926.12269733986,models\sentence_bert\section\real\logistic.pkl,results\tables\sentence_bert\classification_reports\section_real_logistic.csv,results\tables\sentence_bert\confusion_matrices\section_real_logistic.csv,results\figures\sentence_bert\confusion_matrices\section_real_logistic.png,success
Sentence-BERT,section,real,CNN labels,svm,Linear SVM,africa | americas | asia | australia | business | business-food | business-money | cars | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | investing | living | media | middleeast | motorsport | opinions | perspectives | politics | sport | success | tech | tennis | uk | us | weather | world,816,35,37,2,intl_world | movies,0.8333333333333334,0.5057420043524217,0.36048500072616874,0.39639238178973585,0.36094737408446437,0.8523258698734894,0.8333333333333334,0.8373645978223047,0.0018060998991131783,451802.25102756947,models\sentence_bert\section\real\svm.pkl,results\tables\sentence_bert\classification_reports\section_real_svm.csv,results\tables\sentence_bert\confusion_matrices\section_real_svm.csv,results\figures\sentence_bert\confusion_matrices\section_real_svm.png,success
Sentence-BERT,section,real,CNN labels,neural_network,Small Neural Network,africa | americas | asia | australia | business | business-food | business-money | cars | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | investing | living | media | middleeast | motorsport | opinions | perspectives | politics | sport | success | tech | tennis | uk | us | weather | world,816,35,37,2,intl_world | movies,0.8370098039215687,0.44672357400134055,0.34432943187697523,0.35013469313618584,0.3441553144551338,0.8260916952332816,0.8370098039215687,0.8297520916698291,0.0035945000126957893,227013.49203446502,models\sentence_bert\section\real\neural_network.pkl,results\tables\sentence_bert\classification_reports\section_real_neural_network.csv,results\tables\sentence_bert\confusion_matrices\section_real_neural_network.csv,results\figures\sentence_bert\confusion_matrices\section_real_neural_network.png,success
Sentence-BERT,section,real,CNN labels,xgboost,XGBoost,africa | americas | asia | australia | business | business-food | business-money | cars | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | investing | living | media | middleeast | motorsport | opinions | perspectives | politics | sport | success | tech | tennis | uk | us | weather | world,816,35,37,2,intl_world | movies,0.8149509803921569,0.3987998601415753,0.33173891075817596,0.31257286335420764,0.31964289032126636,0.7925971655258108,0.8149509803921569,0.800995464726015,0.008757099974900484,93181.53296625725,models\sentence_bert\section\real\xgboost.pkl,results\tables\sentence_bert\classification_reports\section_real_xgboost.csv,results\tables\sentence_bert\confusion_matrices\section_real_xgboost.csv,results\figures\sentence_bert\confusion_matrices\section_real_xgboost.png,success
Sentence-BERT,section,real,CNN labels,random_forest,Random Forest,africa | americas | asia | australia | business | business-food | business-money | cars | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | investing | living | media | middleeast | motorsport | opinions | perspectives | politics | sport | success | tech | tennis | uk | us | weather | world,816,35,37,2,intl_world | movies,0.7365196078431373,0.22527606860520313,0.2403472613871393,0.1765677294473214,0.1932312624877381,0.7024808133666706,0.7365196078431373,0.6920411491250342,0.06147040007635951,13274.681781578643,models\sentence_bert\section\real\random_forest.pkl,results\tables\sentence_bert\classification_reports\section_real_random_forest.csv,results\tables\sentence_bert\confusion_matrices\section_real_random_forest.csv,results\figures\sentence_bert\confusion_matrices\section_real_random_forest.png,success
