Index,embedding_row,Category,Section,Headline,enhanced_text_characters,enhanced_text_words
935,86,news,world,"They fled their house in Ukraine, but a CNN Hero helped make Poland their new home - CNN",3567,586
1947,87,sport,sport,Usain Bolt: Olympic legend reveals his greatest achievement and life after athletics - CNN,7059,1241
554,88,sport,football,Lyon stun Manchester City to reach Champions League semifinals - CNN,5452,870
1135,89,news,us,A gunman killed his brother. Now Farris Barakat is on an American journey. - CNN,43503,7461
4187,90,sport,golf,Tiger Woods posts first video taking practice swings since car accident in February - CNN,1084,179
340,91,business,success,Why this tax season is extra frustrating - CNN,5818,981
13,92,business,energy,Russia may have found a buyer for its cheap oil: India - CNN,4021,653
2434,93,sport,sport,Teenage long jump sensation Larissa Iapichino on the Olympics and matching her mother's record - CNN,6285,1084
3658,94,sport,sport,'It makes me feel like possibilities are endless': Meet the Muslim women parkour athletes taking up space - CNN,14868,2612
256,95,politics,politics,Rep. Brenda Lawrence adds to growing number of House Democrats to announce retirement - CNNPolitics,3034,493
4237,96,sport,sport,Chris Moneymaker: Meet the man who helped change the fortunes of poker overnight - CNN,7515,1294
1495,97,sport,sport,Tom Brady guides the Tampa Bay Buccaneers to victory over the New Orleans Saints - CNN,3502,611
3902,98,sport,golf,Rory McIlroy says he's 'capable of being the best the player in the world' after winning 20th PGA Tour title - CNN,9245,1648
2986,99,sport,sport,Olympic health plan for US Tokyo delegation: Treat members as if they're unvaccinated - CNN,4863,808
4658,100,sport,sport,Monday Night Football: Patriots edge Bills in 'crazy game' to win seventh straight - CNN,3792,665
1193,101,news,world,How the Syrian crisis came home to small town Canada - CNN,29317,5057
3158,102,sport,sport,"Terry Donahue, former UCLA football coach, dies at 77 - CNN",1860,311
81,103,entertainment,entertainment,"Jussie Smollett's return to acting 'up in the air,' says representative - CNN",3561,588
702,104,sport,motorsport,"Sophia Floersch: If I watched the video, I still don't believe it's me flying' -- Female driver relives horror crash - CNN",7771,1357
3689,105,sport,sport,NFL Preview 2021: League kicks off second season during pandemic  - CNN,12677,2122
2677,106,sport,sport,NBA: Deandre Ayton's last-gasp alley-oop seals dramatic Game Two win for Phoenix Suns - CNN,1871,336
4116,107,sport,football,Benfica match abandoned after Covid-hit opponents left with six players - CNN,3128,495
2764,108,sport,sport,NBA MVP Nikola Jokic's playoff ejection splits opinion as Phoenix Suns dump out Denver Nuggets - CNN,3161,545
2881,109,news,uk,Queen Elizabeth's Platinum Jubilee plans revealed - CNN,14881,2550
2890,110,sport,football,Sergio Aguero to join FC Barcelona as Spanish club begins squad overhaul - CNN,3965,648
3585,111,news,australia,AUKUS deal: Australia's decades-long balancing act between the US and China is over - CNN,8859,1355
3578,112,news,europe,AUKUS pact: French ambassador to US says they 'absolutely weren't informed' of submarine deal  - CNN,4990,762
1882,113,sport,football,UEFA Women's Champions League: European powerhouse Lyon's grip on title is facing its biggest challenge - CNN,7378,1216
4139,114,sport,sport,Tom DeBlass: How MMA fighter overcame childhood abuse and father's addiction to become a champion - CNN,11758,2053
3742,115,sport,football,Cristiano Ronaldo: Superstar and partner Georgina Rodriguez are expecting twins - CNN,928,142
2532,116,sport,football,Nine of 12 Super League clubs recommit to UEFA and admit project was a mistake - CNN,2613,401
1949,117,news,europe,Russian Wagner mercenaries accused in landmark legal case - CNN,6396,990
1109,118,health,health,A dying mother's plea for her life - CNN,27100,4641
3656,119,news,europe,Ukrainian opposition demand investigation into failed sting operation detailed by CNN   - CNN,3668,553
3580,120,news,europe,The world's tallest nation is getting shorter  - CNN,3412,556
1008,121,health,health,Needy families slept on hospital floors until one doctor started a shelter - CNN,4605,808
4134,122,sport,football,Belgium hammer Armenia 19-0 in Women's World Cup qualifying to set team record - CNN,2312,369
4631,123,news,uk,Boris and Carrie Johnson announce birth of baby daughter - CNN,3308,536
3655,124,sport,sport,Tom Brady and the Tampa Bay Buccaneers beat the Dallas Cowboys - CNN,3035,518
2624,125,sport,football,Spain overcomes extraordinary own goal to beat Croatia and reach Euro 2020 quarterfinals - CNN,4772,769
4625,126,news,europe,"Sanna Marin, Finland Prime Minister apologizes for not isolating after nightclub photo surfaces - CNN",2276,346
1325,127,news,us,Another lawsuit has been filed against the condo association after deadly collapse in Surfside - CNN,6984,1104
148,128,sport,sport,University of Michigan students say they were sexually abused by Robert Anderson. An ex-NFL player wants their stories to be heard.  - CNN,21613,3508
2298,129,sport,football,Juan Cala denies racially abusing Mouctar Diakhaby; Valencia respond in statement - CNN,3809,599
2321,130,news,uk,Covid-19 passport pilots proposed by UK government as way out of lockdown - CNN,4694,747
794,131,news,americas,Gangs in El Salvador use women's bodies for 'revenge and control' - CNN,6435,1125
2735,132,sport,tennis,Rafael Nadal pulls out of Wimbledon and Tokyo Olympics - CNN,1428,249
1842,133,sport,football,Lou Macari: Former Manchester United player turns his attention to helping the homeless  - CNN,6430,1113
3132,134,sport,tennis,Roger Federer knocked out of Wimbledon by Hubert Hurkacz at quarterfinal stage - CNN,3274,553
3724,135,sport,tennis,Andy Murray says he 'lost respect' for Stefanos Tsitsipas after first round US Open defeat - CNN,5117,882
2073,136,sport,sport,Diego Maradona's Porsche is up for sale - CNN,2115,346
2692,137,sport,golf,US Open winner: Jon Rahm claims victory at Torrey Pines - CNN,5182,919
1743,138,sport,golf,Annika Sorenstam: 10-time major winner to make LPGA return after 13 years away - CNN,2932,517
2427,139,sport,golf,PGA Championship: Conners waves Canadian flag from top of gusty PGA leaderboard - CNN,8833,1487
867,140,news,us,New Orleans after Katrina: This non-profit is still helping the city rebuild 15 years later - CNN,5401,837
4438,141,news,uk,Queen Elizabeth II seen driving on Windsor estate after canceling engagements on medical advice - CNN,2267,380
1456,142,sport,sport,"Conor McGregor is one of the best UFC fighters at 'getting under your skin,' says rival Dustin Poirier - CNN",5226,921
1502,143,sport,sport,NFL cheerleaders: New documentary explores exposes the underbelly of a seemingly glamorous pursuit  - CNN,10518,1753
2922,144,sport,sport,Caeleb Dressel wins his first individual Olympic gold medal in the 100 meter freestyle final  - CNN,1911,326
4251,145,sport,motorsport,"Guanyu Zhou: First Chinese driver is huge for Alfa and F1, says Vasseur - CNN",3275,574
3980,146,sport,golf,Ko Jin-young equals golfing history with dominant Founders Cup win - CNN,2023,343
1686,147,news,europe,UK's Covid vaccine rollout is a much-needed win after bungled pandemic response - CNN,10002,1632
4606,148,sport,sport,Heisman Trophy winner: Bryce Young - CNN,2825,449
3946,149,sport,sport,Agnes Tirop: Police say runner's husband is a suspect in her stabbing death - CNN,2578,427
3873,150,sport,sport,NBA commissioner Adam Silver hopes Kyrie Irving decides to get vaccinated against Covid-19 - CNN,3745,636
2072,151,sport,sport,"Iran's only female Olympic medalist, Kimia Alizadeh, to compete under white flag in Tokyo - CNN",1536,254
1291,152,politics,politics,Fears of unlikely federal gun-control measures lead to raft of state laws - CNNPolitics,12907,2044
2052,153,news,australia, Box jellyfish: Australian teenager dies a week after being stung  - CNN,2408,389
3626,154,sport,football,Manchester United and Cristiano Ronaldo stunned by late Young Boys winner in Champions League - CNN,2302,379
3111,155,sport,football,Queen Elizabeth sends 'good wishes' to Gareth Southgate ahead of the Euro 2020 final - CNN,1634,262
3191,156,sport,sport,Abhimanyu Mishra: 12-year-old becomes youngest grandmaster in chess history - CNN,2325,370
1430,157,sport,sport,Sydney Test: India cricket fan details allegations of racial abuse by staff and supporters - CNN,7763,1312
2216,158,news,europe,David Beckham Fast Facts - CNN,5360,870
2878,159,sport,tennis,Serena Williams wants to give Naomi Osaka a hug; others label her a 'princess' - CNN,6969,1132
601,160,sport,sport,Norway tops Beijing 2022 medal table after record-breaking performance  - CNN,4431,742
1561,161,sport,sport,"LeBron James 'in that same genre' as Muhammad Ali for sport, according to legendary NBA coach Gregg Popovich - CNN",5331,888
4216,162,news,uk,Analysis: A court battle is brewing over Prince Philip's will - CNN,11733,1954
2056,163,news,europe," Italy blocks export of Covid-19 vaccine doses to Australia, using EU powers for the first time - CNN",3819,585
4351,164,sport,motorsport,Mexican Grand Prix: Max Verstappen wins ahead of Lewis Hamilton as he edges towards F1 title - CNN,3043,525
2937,165,news,europe,London Underground Fast Facts - CNN,6823,1088
3450,166,sport,sport,Beijing 2022 Winter Olympics will be open to fans --  if they live in China - CNN,3803,601
1884,167,news,europe,Vladimir Putin vaccinated: Russian President gets Covid-19 shot behind closed doors - CNN,4519,710
3426,168,sport,sport,"Gwen Berry: 'I'm just here to represent,' says US hammer thrower after raising her fist at Tokyo 2020 - CNN",5237,917
1000,169,news,living,A glimpse of life on the reservation - CNN,3674,600
3250,170,sport,tennis,"U.S. Open to offer record overall purse, winners' payout down - CNN",1508,250
3025,171,sport,golf,Collin Morikawa makes history with Open Championship win after dramatic final round - CNN,7056,1273
3408,172,sport,sport,Damian Warner: Three-time Olympian says Tokyo 2020 is the 'hottest' Games' he's competed in - CNN,4492,775
1269,173,news,us,On patrol with Skid Row's 'angel cop'  - CNN,27534,4807
2629,174,sport,tennis,2020 Tokyo Olympics: Serena Williams confirms she will not play at summer Games - CNN,1753,293
1948,175,news,europe,"Vatican says it will not bless same-sex unions, calling them a 'sin' - CNN",3357,549
3468,176,sport,sport,Lance Armstrong: Jan Ullrich says he was 'nearly dead' before a visit from former cycling rival helped with his recovery - CNN,3458,620
2899,177,sport,sport,TikTok: How one user went viral after sharing his Tinder hack to virtually connect with Olympians - CNN,3456,576
360,178,business,perspectives,Opinion: The next front in fighting climate change: your home - CNN,6148,1011
1909,179,sport,football,Champions League quarterfinal draw: Bayern Munich to face PSG in repeat of 2020 final - CNN,4873,777
1938,180,news,europe,AstraZeneca vaccine: European regulator 'convinced' benefits of shot outweigh risks as suspensions continue - CNN,8941,1371
1847,181,news,europe,Russian socialite TV host under fire for interview with serial rapist  - CNN,4349,696
2790,182,news,europe,"Norway to proceed with sound experiment on whales, despite protests - CNN",4266,653
3825,183,news,europe,COP26: A climate solution lies right under our feet but it may not be on the agenda - CNN,8672,1370
3692,184,sport,tennis,Carlos Alcaraz becomes youngest player to reach men's US Open quarterfinals - CNN,3342,575
3411,185,sport,sport,Chen Qingchen: Chinese badminton player's cursing at Tokyo Olympics riles South Koreans - CNN,2985,462
1725,186,sport,sport,Jacksonville Jaguars head coach defends hire of controversial coach - CNN,2418,395
2844,187,sport,golf,Jon Rahm forced to withdraw from Memorial Tournament after positive Covid-19 test - CNN,2323,370
4524,188,news,europe,Netherlands reimposes strict lockdown and UK won't rule out new measures over Omicron - CNN,4720,754
2668,189,sport,football,Germany vs. Hungary: UEFA facing criticism over its position on rainbow colors  - CNN,4414,699
1281,190,news,us,The politics of feminism: An unlikely partnership - CNN,19271,3273
2604,191,news,europe,"Russia says people can decline its vaccine. But for many, they'll get fired if they do - CNN",9441,1549
233,192,politics,politics,The 10 Senate seats most likely to flip in 2022 - CNNPolitics,20771,3361
4354,193,sport,sport,"Brooklyn Nets win fifth straight, take down Toronto Raptors - CNN",2308,396
2614,194,sport,tennis,Roger Federer says he 'got a bit lucky' as Swiss star survives Wimbledon first-round scare - CNN,1960,358
981,195,news,world,"Antarctica's ice is degrading faster than we thought, and there may be no way to stop the consequences  - CNN",2992,489
3512,196,sport,golf,Brooks Koepka and Daniel Berger argue with officials in drop controversy at Ryder Cup - CNN,2246,387
56,197,health,health,Only 2% of Americans now live in counties with high Covid-19 levels - CNN,2088,345
3441,198,sport,sport,Kristina Timanovskaya: Belarusian sprinter says she is being forcibly removed from the Olympics and sent home - CNN,5263,886
1757,199,sport,football,"Bayern Munich vs. Al Ahly: Pitso Mosimane, draws strength from Nelson Mandela as coach showcases talents at Club World Cup - CNN",11653,1973
4451,200,sport,football,China bans footballers from getting tattoos - CNN,2125,323
2326,201,sport,football,Premier League: West Bromwich Albion scores five goals against 10-man Chelsea - CNN,4922,820
2225,202,sport,sport,Tokyo Olympics: With 100 days to go Japan has vaccinated less than 1% of its population. That's a problem. - CNN,10602,1698
3321,203,news,europe,"Russian plane fighting wildfires crashes in Turkey, killing all 8 crew members on board - CNN",1805,298
4499,204,news,europe,King Juan Carlos I Fast Facts - CNN,5675,925
2834,205,sport,sport,"Yuka Saso wins 2021 US Women's Open, becomes first Filipino player to win a golf major tournament - CNN",3297,582
1659,206,sport,sport,Jasmine Harrison: She's 21 and just became the youngest female to row solo across the Atlantic Ocean - CNN,2047,338
3105,207,sport,tennis,Wimbledon final: Novak Djokovic wins record-equaling 20th grand slam title - CNN,4059,697
3142,208,news,europe,An American lawyer went on a lunch date in Moscow. Now he's languishing in a jail cell in Belarus   - CNN,8435,1389
1571,209,sport,sport,"LeBron James looks for WNBA win over Kelly Loeffler after leading Lakers to victory,  - CNN",3496,559
4350,210,sport,football,WSL: Arsenal dominate again to maintain flawless start  - CNN,1573,269
721,211,sport,football,RB Leipzig: Trailblazing footballer Lena Güldenpfennig balancing her on-pitch duties with an esports career - CNN,7580,1253
1633,212,news,uk,Boris Johnson lays out go-slow plan to take England out of lockdown by summer - CNN,7203,1193
731,213,sport,sport,League of Legends: G2 Esports stars' journey to Worlds   - CNN,6753,1188
4557,214,sport,motorsport,Max Verstappen: New F1 world champion 'not disappointed at all' with controversial way he won title - CNN,6699,1135
4529,215,sport,sport,The NFL has updated its Covid protocols as the virus disrupts game schedules - CNN,4166,671
2003,216,sport,golf,Rory McIlroy says Tiger Woods is 'doing better' and hopeful to be home in the 'next week or so' - CNN,2478,430
4415,217,sport,sport,This is what Aaron Rodgers has said about his Covid-19 vaccine status - CNN,1794,292
2316,218,news,uk,UK race report: culture wars may be a sugar hit for Boris Johnson. But experts say they only paper over Britain's problems - CNN,10643,1682
4455,219,sport,sport,John Madden: Legendary NFL coach and broadcaster has died at age 85 - CNN,5430,939
3588,220,news,uk,UK Speaker: We can't let mob rule smash democracy - CNN,7456,1229
777,221,news,world,They wanted a son so much they made their daughter live as a boy - CNN,12922,2193
118,222,sport,golf,Players Championship: Powerful storm wreaks havoc as golf tournament suffers further delays - CNN,3132,518
3677,223,news,europe,How floating islands can make urban waterways green and clean - CNN,6202,965
3145,224,news,europe,Methamphetamine in waterways may be turning trout into addicts - CNN,3682,567
1711,225,news,europe,"Catalonia's separatists increase majority, dialogue with Madrid in sight - CNN",3431,524
2831,226,sport,tennis,Coco Gauff becomes youngest woman to reach grand slam quarterfinal in 15 years at French Open - CNN,2519,432
3153,227,news,europe,Russian plane crashes with 28 passengers onboard - CNN,2136,328
2210,228,sport,sport,2021 Wisden Almanack: England cricket criticized for stopping kneeling in midst of fight against racism - CNN,5216,842
4277,229,news,uk,Liverpool Women's Hospital: Police arrest three after deadly car explosion - CNN,1742,268
1605,230,news,europe,Russia launches satellite to monitor climate in Arctic - CNN,2223,353
2697,231,sport,sport,Damascus to Tokyo 2020: Syrian refugees' remarkable journeys to the Olympic Games - CNN,7117,1251
2724,232,sport,golf,U.S. Open: Bryson DeChambeau videobombs Brooks Koepka interview - CNN,3361,563
2493,233,sport,sport,"Russell Westbrook breaks the NBA record for triple-doubles, surpassing Oscar Robertson - CNN",3111,517
1094,234,news,us,The Bible backs up Trump's idea to arm houses of worship - CNN,9474,1665
1972,235,sport,tennis,Serena Williams says she understood the 'pain and cruelty' suffered by Meghan - CNN,4594,750
1494,236,sport,sport,Sofia Bekatorou: Olympic medalist's decision to speak out over alleged 1998 sexual assault sparks public outcry in Greece - CNN,6616,1045
3714,237,sport,football,Cristiano Ronaldo breaks Ali Daei's international goalscoring record - CNN,2451,394
3307,238,news,europe,Turkey floods: Death toll rises to 58 - CNN,1550,242
2967,239,news,uk,"Female UK military staff report: Almost two-thirds of women bullying, sexual harassment and discrimination, landmark report says - CNN",2876,446
2770,240,sport,tennis,Djokovic comes from two sets down to beat Tsitsipas in thrilling 2021 French Open final - CNN,7453,1309
2821,241,news,europe,"Ratko Mladic, the 'butcher of Bosnia,' loses appeal against genocide conviction - CNN",3489,556
3841,242,sport,football,"NWSL needs 'institutional change' after abuse allegations, says interim CEO - CNN",1882,281
3989,243,news,uk,"Prince Andrew: London's Met Police taking ""no further action"" against the Duke of York - CNN",4109,665
826,244,news,world,How to help on International Women's Day - CNN,3368,534
1181,245,news,us,Understanding why a visa can be so coveted and reviled  - CNN,27073,4569
3054,246,sport,sport,First case of Covid-19 reported at Tokyo Olympic Athletes Village - CNN,2562,399
4648,247,news,europe,"Olaf Scholz becomes Germany's new chancellor, replacing Angela Merkel after 16 years - CNN",4112,648
2348,248,sport,tennis,"Naomi Osaka withdraws from French Open, citing her mental health - CNN",5889,992
318,249,business,success,Joining a company remotely? Here's how to bond with your colleagues - CNN,5591,964
2410,250,sport,motorsport,Former motor racing boss Max Mosley dies aged 81 - CNN,2786,458
3022,251,sport,football,Premier League soccer player suspended over alleged child sex offenses - CNN,957,156
2051,252,sport,football,Liverpool slumps to fifth straight home defeat as Jurgen Klopp defends 'rare' Mohamed Salah substitution - CNN,3435,577
4245,253,sport,sport,"Michael Savarino and Paolo Banchero, Duke basketball players, face DWI-related charges - CNN",2121,321
1406,254,sport,football,Liverpool FC vs. Tottenham Hotspur FC: Harry Kane injured again; Jose Mourinho frustrated - CNN,5036,806
212,255,news,europe,Why Europe's fight against the pandemic is about to get much more dangerous - CNN,8622,1343
3794,256,sport,sport,Veteran NFL official Carl Madsen dies on way home from Chiefs-Titans game - CNN,1672,275
2080,257,sport,sport,England rugby player Ellis Genge says he received death threats following Six Nations defeat by Wales - CNN,3439,558
1621,258,sport,golf,"We should be grateful that Tiger Woods is alive, 'that his kids haven't lost their dad,' says an emotional Rory McIlroy - CNN",3563,622
1622,259,sport,sport,"Olympics 2032: Brisbane is 'preferred host' for Summer Games, IOC announces - CNN",4066,654
651,260,sport,sport,Nathan Chen breaks short program record at US figure Skating Championships - CNN,2062,335
2726,261,sport,football,Euro 2020 semifinals and final present Boris Johnson with new 'public health' issue  - CNN,3933,642
24,262,business,economy,"Economic growth in 2022: China had a surprisingly good start, but it may not last - CNN",6475,1009
241,263,politics,politics,"New York completes congressional redistricting, likely netting Democrats several seats - CNNPolitics",1569,238
2827,264,news,europe,Prince Harry Fast Facts - CNN,16280,2665
1101,265,news,us,A WWII hero returns to Germany to meet his enemy - CNN,16435,2947
4256,266,sport,sport,Ottawa Senators: NHL pauses team's season due to Covid-19 outbreak - CNN,1189,198
3504,267,news,europe,Switzerland votes to make same-sex marriage legal by near two-thirds majority - CNN,1997,303
3066,268,news,europe,Cocaine disguised as charcoal worth up to $41 million seized by police - CNN,2993,469
3223,269,sport,sport,"Two Afghan athletes arrive from Kabul to Tokyo, International Paralympic Committee confirms - CNN",3071,468
1612,270,news,europe,China Uyghurs: Dutch parliament becomes second in a week to accuse Beijing of genocide in Xinjiang - CNN,3278,497
3974,271,sport,golf,JR Smith makes college golf debut - CNN,2428,415
2855,272,news,europe,"Putin signs law banning 'extremists' from running in elections, on Navalny's birthday - CNN",3231,493
657,273,sport,sport,Black Ice film aiming to boost diversity in climbing  - CNN,9850,1655
3291,274,sport,tennis,Naomi Osaka reflects on her tennis career after 'seeing the state of the world' - CNN,3361,567
