Index,Headline,original_category,llm_category,original_section,llm_section,neighbor_1_index,neighbor_1_headline,neighbor_1_similarity,neighbor_2_index,neighbor_2_headline,neighbor_2_similarity,neighbor_3_index,neighbor_3_headline,neighbor_3_similarity,neighbor_4_index,neighbor_4_headline,neighbor_4_similarity,neighbor_5_index,neighbor_5_headline,neighbor_5_similarity,same_original_category_neighbor_ratio,same_llm_category_neighbor_ratio,same_original_section_neighbor_ratio,same_llm_section_neighbor_ratio,mean_neighbor_similarity,minimum_neighbor_similarity,maximum_neighbor_similarity
4159,Karim Benzema: Real Madrid star found guilty of complicity in attempted blackmail in sex tape case - CNN,sport,sport,football,football,4146,Karim Benzema: French court says Real Madrid star used 'subterfuge and lies' in sex tape case - CNN,0.92504275,3862,Karim Benzema and Mathieu Valbuena: A ​blackmail ​allegation and a sex tape -- two French footballers face off in court - CNN,0.87016547,1553,Karim Benzema to face trial over alleged involvement in blackmail scheme - CNN,0.86409247,3660,"Jerome Boateng: Former Germany defender guilty of bodily harm, fined $2.13 million - CNN",0.6272986,2124,Zlatan Ibrahimovic investigated by UEFA over 'alleged financial interest' in betting company - CNN,0.61161256,1.0,0.8,1.0,0.8,0.7796424,0.61161256,0.92504275
351,Opinion: How we can solve the nation's affordable housing crisis - CNN,business,news,perspectives,us,356,"Opinion: Home prices could soar another 20% this year, but Black families are struggling to benefit - CNN",0.5751655,327,"As home values soar, the wealth gap grows even bigger  - CNN",0.5746627,360,Opinion: The next front in fighting climate change: your home - CNN,0.5421989,353,Opinion: This bill could help to end energy poverty in the US - CNN,0.45435894,334,Mortgage rates jump to nearly 4% - CNN,0.4523818,1.0,0.0,0.6,0.0,0.5197536,0.4523818,0.5751655
2682,Britain has an education problem. Some lawmakers are reducing it to a debate on 'White Privilege' - CNN,news,politics,uk,politics,1818,Campaigners slam UK government report into racial disparities as a 'whitewash' - CNN,0.67892945,2184,UN condemns 'reprehensible' UK race report for repackaging 'racist tropes into fact' - CNN,0.633167,3661,"Queen Elizabeth supports Black Lives Matter movement, says aide - CNN",0.54394567,1515,"England's schools were mostly open in 2020, but 2021 is a different story - CNN",0.51426095,2648,Buckingham Palace admits it 'must do more' on diversity in annual report - CNN,0.51415306,1.0,0.8,0.8,0.8,0.57689124,0.51415306,0.67892945
1587,Norway landslide: rescuers continue their search for survivors days after tragedy struck - CNN,news,news,europe,europe,1574,Norway ends rescue effort for survivors six days after landslide - Prime Minister - CNN,0.82964975,2991,"Germany floods: More than 150 people still missing unlikely to be found, officials fear - CNN",0.5452666,3051,"Europe flooding: Record rainfall leaves over 120 dead in western Europe, devastating parts of Germany - CNN",0.5322012,941,How to survive an avalanche - CNN,0.5240153,2635,Czech tornado: 5 killed as rare storm hits villages - CNN,0.5046575,1.0,0.8,0.8,0.6,0.5871581,0.5046575,0.82964975
3466,La Palma volcano: Residents told to lock down as lava pours into sea - CNN,news,news,europe,europe,4045,La Palma volcano: Lava flow thickens after volcanic crater collapses - CNN,0.84938574,4042,La Palma volcano increasingly aggressive as Spain's leader announces emergency funds - CNN,0.81755877,3944,"Lava from La Palma volcano sparks cement factory fire, pushing 2,500 people into lockdown - CNN",0.8131223,4093,Spain's La Palma volcano continues to wreak havoc more than 2 months on - CNN,0.8104624,3552,La Palma volcano: Gushing lava forces more evacuations  - CNN,0.80734646,1.0,1.0,1.0,1.0,0.81957513,0.80734646,0.84938574
3347,Neeraj Chopra's javelin victory delivers India its first Olympic gold medal in track and field - CNN,sport,sport,sport,sport,3351,India just had its best ever Olympics. Many hope its success will usher in a new era of Indian sport  - CNN,0.8372724,2940,Hidilyn Diaz wins Philippines' first Olympic gold medal with weightlifting - CNN,0.5052558,3209,Avani Lekhara becomes first Indian woman to win Paralympic gold - CNN,0.49758667,2197,How Hideki Matsuyama became Japan's new national hero - CNN,0.46882486,2972,Here's who won gold medals at the Tokyo Olympics on Sunday - CNN,0.46754158,1.0,1.0,0.8,0.6,0.55529624,0.46754158,0.8372724
881,COP21: Paris climate change deal is end of fossil fuels - CNN,news,news,opinions,world,883,COP21: We have a Paris climate agreement. Now what?  - CNN,0.7482436,885,COP21: The moral case for climate action (Opinion) - CNN,0.7391679,897,Climate change is a form of terror (Opinion)  - CNN,0.6486045,889,COP21: Is 2 degrees the wrong climate goal? (Opinion) - CNN,0.6403577,927,Climate change: 48-page document could save the planet - CNN,0.5959804,1.0,1.0,1.0,0.0,0.6744708,0.5959804,0.7482436
4638,"Sam Kerr: Chelsea star barges pitch invader to the ground, gets yellow card in Women's Champions League game - CNN",sport,sport,football,football,4077,Europa League: Crowd trouble once again mars fixtures - CNN,0.53512394,2028,Champions League: UEFA clears officials of alleged racist abuse during Paris Saint-Germain and Istanbul Basaksehir match - CNN,0.5211669,2408,Rio Ferdinand: Manchester United legend racially abused at Premier League match  - CNN,0.50343746,4517,Jurgen Klopp fumes over refereeing decisions after Liverpool's entertaining draw against Tottenham  - CNN,0.50269616,2764,NBA MVP Nikola Jokic's playoff ejection splits opinion as Phoenix Suns dump out Denver Nuggets - CNN,0.49823904,1.0,1.0,0.8,1.0,0.51213276,0.49823904,0.53512394
4031,Former NWSL coach called 'predator' as players speak out about sexual misconduct accusations  - CNN,sport,news,football,us,4064,National Women's Soccer League commissioner quits as weekend matches are cancelled after sexual miscoduct allegations against fired coach - CNN,0.82820404,3841,"NWSL needs 'institutional change' after abuse allegations, says interim CEO - CNN",0.76570886,3871,Former NWSL player Kaiya McCullough calls for accountability after widespread women's football abuse scandal - CNN,0.58889043,3734,Kyle Beach: Player speaks with NHL commissioner after sex abuse allegation against former Chicago Blackhawks video coach - CNN,0.541423,4406,"Rana Reider, prominent track and field coach, under investigation over sexual misconduct complaints - CNN",0.53630126,1.0,0.4,0.6,0.4,0.6521055,0.53630126,0.82820404
1552,"Schalke vs. Hoffenheim: After 30 league games without a win, Bundesliga team stops the rot with 4-0 victory as Matthew Hoppe scores hat-trick - CNN",sport,sport,football,football,3679,Erling Haaland and Memphis Depay score hat-tricks as Norway and Netherlands secure emphatic World Cup qualifier victories - CNN,0.5547098,4300,Germany thrashes Liechtenstein 9-0 in FIFA World Cup qualifier - CNN,0.5544411,2033,Robert Lewandowski edges closer to legendary scoring record  - CNN,0.54126114,3584,Bayern Munich puts seven goals past hapless VfL Bochum - CNN,0.5339707,2468,Robert Lewandowski scores 40th Bundesliga goal of the season to equal Gerd Müller's record - CNN,0.51813626,1.0,1.0,1.0,1.0,0.54050386,0.51813626,0.5547098
3845,Tom Brady congratulates Aaron Rodgers for becoming 'shareholder of the Bears' after celebration saying he 'owned' them - CNN,sport,sport,sport,football,1980,NFL: Tom Brady signs new deal with the Tampa Bay Buccaneers - CNN,0.7139449,2049,Tom Brady: NFL star says he dodged wife's retirement request - CNN,0.7114011,4071,Tom Brady hypes Buccaneers-Patriots game with homecoming video  - CNN,0.67273647,3655,Tom Brady and the Tampa Bay Buccaneers beat the Dallas Cowboys - CNN,0.6677675,3923,Tom Brady shrugs off thumb injury to throw two touchdowns in Buccaneers win over Eagles - CNN,0.66534805,1.0,1.0,1.0,1.0,0.6862396,0.66534805,0.7139449
2168,Ukraine's Zelensky invites Russia's Vladimir Putin to meet - CNN,news,politics,europe,politics,2226,Ukraine border: As Russia masses its troops President Zelensky heads to the trenches  - CNN,0.7527365,4598,Russia's Vladimir Putin told Biden he would 'really like' to meet - CNN,0.72470665,4662,"Oleksiy Reznikov, Ukraine's defense minister warns there will be a 'bloody massacre' if Russia invades - CNN",0.67714083,2731,Analysis: Putin got exactly what he wanted from Biden in Geneva - CNN,0.6522318,4133,Ukraine Volodymyr Zelensky: President says group of Russians and Ukrainians planning coup against him - CNN,0.6481065,1.0,1.0,1.0,1.0,0.6909844,0.6481065,0.7527365
3975,Kyrie Irving 'will not play or practice' with the Brooklyn Nets due to vaccination status  - CNN,sport,sport,sport,football,3739,Kyrie Irving: Nets owner Tsai unsure when unvaccinated star will play again - CNN,0.9093744,3977,Kyrie Irving: Brooklyn Nets head coach Steve Nash admits star will miss home games - CNN,0.89689493,4006,"Kyrie Irving: Brooklyn Nets star will be able to practice with his team, but won't be able to play home games due to vaccination status - CNN",0.887231,3931,Nets star Kyrie Irving may not play a single game. But he could still score up to $19M - CNN,0.8701892,3474,Kyrie Irving: NBA star the latest to withhold vaccination status - CNN,0.86138475,1.0,0.2,1.0,0.2,0.8850149,0.86138475,0.9093744
1750,European Space Agency hiring astronauts for first time in 11 years - CNN,news,news,europe,europe,2393,Police forces across Europe accused of 'ethnic profiling' when stopping and searching people - CNN,0.38483536,2159,Russia plans to launch own space station after quitting ISS - CNN,0.35755235,926,COP21: Why more women need seats at the table - CNN,0.35521215,4482,Russia says it hopes to begin talks with US and NATO in January - CNN,0.34439117,2647,CeCe Telfer: Transgender woman ruled ineligible to run in US Olympic Trials - CNN,0.34369403,0.8,0.4,0.6,0.2,0.35713702,0.34369403,0.38483536
735,Deaf culture in an American deaf family - CNN,news,entertainment,living,celebrities,86, Grimes and Elon Musk secretly welcomed their second child in December - CNN,0.36182064,1211,Bound by terror: 'I've got you' - CNN,0.29861987,2189,"In its latest lurch to the far right, Denmark plans to send refugees back to Syria - CNN",0.29562432,1177,The journey of bringing formerly conjoined twins home - CNN,0.2903158,478,'As We See It' review: Producer Jason Katims delivers Amazon's touching coming-of-age look at life on the spectrum - CNN,0.28913295,0.4,0.4,0.0,0.2,0.3071027,0.28913295,0.36182064
2977,Olympic protests are nearly as old as the Games themselves. So why are officials so hesitant to allow them? - CNN,sport,news,sport,us,3005,Tokyo has tough task trying not to be the first 'no-fun' Olympics - CNN,0.783153,2104,Tokyo Olympics 2020: Protests and demonstrations banned at games as Rule 50 upheld - CNN,0.7436811,623,The Tokyo Olympics set the record for LGBTQ+ visibility. The Beijing Games aren't likely to break it - CNN,0.7108048,2225,Tokyo Olympics: With 100 days to go Japan has vaccinated less than 1% of its population. That's a problem. - CNN,0.7034192,2981,"Overshadowed by Covid-19, Olympic athletes are left to bring light to troubled Tokyo 2020 - CNN",0.6968409,1.0,0.6,1.0,0.0,0.7275798,0.6968409,0.783153
133,Eileen Gu and Kamila Valieva became the teenage faces of Beijing 2022 under wildly contrasting circumstances - CNN,sport,entertainment,sport,celebrities,599,The highs and lows of the 2022 Winter Olympics - CNN,0.71689343,606,Kamila Valieva saga set to run and run as blame game breaks out over Russian skater's positive drugs test - CNN,0.6724597,620,Kamila Valieva: Timeline of Russian figure skater's failed drug test - CNN,0.6389588,2071,Winter Olympics 2022: Mikaela Shiffrin doesn't want to have to choose between 'morality versus being able to do your job' - CNN,0.6103682,609,Mikaela Shiffrin left reeling after third Beijing crash: 'I just feel like a joke' - CNN,0.59804666,1.0,0.0,1.0,0.0,0.64734536,0.59804666,0.71689343
1145,"Raped and wed by 11, woman fights to end child marriage - CNN",health,politics,health,politics,1111,"Decades after their own sexual assaults, women put themselves in shoes of Kavanaugh's accusers - CNN",0.5355078,1243,Can a survivor find solace in return to scene of rape? - CNN,0.53518295,1117,Forget abortion: What women in Appalachian Kentucky really want - CNN,0.53293926,1295,Texas abortion ban is an early glimpse of what post-Roe America would look like for women  - CNN,0.5078884,1066,Caregiver convicted of rape in nursing home  - CNN,0.495418,0.6,0.2,0.6,0.2,0.5213873,0.495418,0.5355078
108,Roman Abramovich: Death and destruction in Ukraine overshadows Russian oligarch's legacy at Chelsea - CNN,sport,politics,football,politics,1442,Chelsea sacks manager Frank Lampard - CNN,0.46754646,120,Andriy Yarmolenko: Ukraine star moved to tears after scoring for West Ham in the Premier League - CNN,0.45503378,4597,"Putin rues Soviet collapse, says he moonlit as a taxi driver to survive economic crisis - CNN",0.45482385,2185,Ander Herrera and Mesut Ozil: Shock and outrage as world reacts to European Super League breakaway plans - CNN,0.44145966,2360,Chelsea beats Manchester City to win the Champions League title  - CNN,0.4389556,0.8,0.2,0.8,0.2,0.4515639,0.4389556,0.46754646
2467,Women's Champions League: Chelsea boss Emma Hayes says inspiring next generation is as important as trophy - CNN,sport,sport,football,football,1882,UEFA Women's Champions League: European powerhouse Lyon's grip on title is facing its biggest challenge - CNN,0.6569666,4109,Ballon d'Or 2021: Who will be crowned the best players in men's and women's football? - CNN,0.59765846,3653,Nadia Nadim: 'I'm actually the picture of everything the Taliban don't want their women to be' - CNN,0.5877213,3519,Emma Hayes: Chelsea Women's manager fears social media abuse of players could lead to suicides - CNN,0.58435416,4533,"Women's Champions League: Covid-19 fears behind shock exit, says Chelsea's Emma Hayes  - CNN",0.56785285,1.0,0.6,1.0,0.6,0.5989107,0.56785285,0.6569666
1215,The forgotten victims of gun violence - CNN,health,news,health,us,1267,Paris survivor stories: Friday night interrupted - CNN,0.50690603,3323,"Plymouth shooting: Attacker identified after five killed in rare mass shooting in England
 - CNN",0.50494397,1018,Guatemala: Gender-based violence at epidemic levels - CNN,0.48068714,1969,Sarah Everard: Fury as London police officers break up vigil to murdered woman - CNN,0.47633636,3316,Plymouth shooter was a misogynist whose remarks echoed the 'incel' ideology  - CNN,0.46649867,0.0,1.0,0.0,0.0,0.48707443,0.46649867,0.50690603
1746,"Europe's oldest person, a 116-year-old French nun, survives Covid-19 - CNN",news,health,europe,health,4321,Aryna Sabalenka says she got vaccinated after contracting Covid-19 - CNN,0.4827841,1465,Paula Badosa becomes first Australian Open tennis player to reveal positive Covid-19 test - CNN,0.47704154,3604,France coronavirus: Thousands of healthcare workers suspended after failing to get vaccinated - CNN,0.46711946,2566,"France kept classrooms open 'at all costs.' At a school where 20 pupils lost loved ones, some say the price was too high - CNN",0.46636653,3163,"Kate, Duchess of Cambridge, forced to self-isolate after Covid-19 contact - CNN",0.45977825,0.6,0.4,0.4,0.4,0.47061795,0.45977825,0.4827841
2754,Shelby Houlihan believes burrito led to false positive steroid test that caused ban from running - CNN,sport,health,sport,health,3621,"Burundi's Francine Niyonsaba, who has an intersex condition, breaks world record - CNN",0.4986006,3141,"Sha'Carri Richardson left off US Olympic track team though her suspension ends before relay event,  - CNN",0.47879493,3184,Sha'Carri Richardson suspended from US Olympic team after testing positive for marijuana - CNN,0.4678678,2997,US gymnast Kara Eaker and basketball player Katie Lou Samuelson test positive for Covid-19 ahead of Olympics - CNN,0.4590311,2348,"Naomi Osaka withdraws from French Open, citing her mental health - CNN",0.4589088,1.0,0.2,0.8,0.2,0.47264066,0.4589088,0.4986006
3114,Matteo Berrettini beats Hubert Hurkacz to become first Italian man to reach a Wimbledon final - CNN,sport,sport,tennis,sport,2797,Novak Djokovic lets out guttural scream after setting up French Open semifinal against Rafael Nadal  - CNN,0.65340555,3105,Wimbledon final: Novak Djokovic wins record-equaling 20th grand slam title - CNN,0.6213977,3132,Roger Federer knocked out of Wimbledon by Hubert Hurkacz at quarterfinal stage - CNN,0.5902008,2655,Zhang Zhizhen becomes first Chinese man to qualify for Wimbledon in Open Era - CNN,0.5629051,2792,Stefanos Tsitsipas reaches first career grand slam final with win over Alexander Zverev at French Open - CNN,0.5589492,1.0,1.0,1.0,0.4,0.59737164,0.5589492,0.65340555
1613,Caster Semenya appeals to European Court of Human Rights over 'discriminatory' testosterone limit - CNN,sport,news,sport,europe,3174,Tokyo 2020: Two Namibian Olympic medal contenders ruled ineligible for women's 400m due to naturally high testosterone levels - CNN,0.65060294,3041,"Laurel Hubbard: IOC backs transgender weightlifter's selection for Tokyo, says to review rules later - CNN",0.5088154,4131,World Athletics finds female athletes target of 87 percent of online abuse at Tokyo Olympics  - CNN,0.4989317,3621,"Burundi's Francine Niyonsaba, who has an intersex condition, breaks world record - CNN",0.49847555,2676,Sun Yang has doping ban reduced but will still miss Tokyo Olympics - CNN,0.4896536,1.0,0.4,1.0,0.0,0.5292958,0.4896536,0.65060294
2742,"Boris Johnson described his health secretary as 'hopeless,' Dominic Cummings says - CNN",news,politics,uk,politics,2387,Dominic Cummings: Boris Johnson's former senior adviser says UK fell 'disastrously short' on Covid-19 - CNN,0.7842618,1428,"UK Covid-19 deaths have hit 100,000. Experts say the government is still getting it wrong - CNN",0.7406566,3015,"Boris Johnson had to be talked out of meeting the Queen early on in the pandemic, ex-adviser claims  - CNN",0.69819057,1591,UK Prime Minister Boris Johnson 'reconciled' to tougher Covid-19 restrictions as cases soar - CNN,0.67250884,2252,Boris Johnson could come out of the pandemic smelling of roses - CNN,0.66168416,1.0,0.8,1.0,0.8,0.7114604,0.66168416,0.7842618
1073,Why Francis and Benedict won't answer the accusations dividing their church - CNN,news,news,europe,us,4027,France Catholic Church: Pope expresses 'shame' over Church response to sexual abuse survivors following report - CNN,0.64310044,1081,'How could this happen again?' Why this Catholic abuse scandal seems worse than 2002  - CNN,0.6082675,4294,Pope thanks journalists for helping expose Church sex scandals - CNN,0.5983143,4717,Paris Archbishop allegedly involved in 'intimate relationship' with woman resigns - CNN,0.5857204,1077,American cardinal says his own mother is 'embarrassed to be Catholic'  - CNN,0.5706955,1.0,0.2,0.6,0.2,0.60121965,0.5706955,0.64310044
2798,"Viktor Orban: Taking knee is 'provocation', 'has no place on pitch' - CNN",sport,politics,football,politics,3087,Viktor Orbán wants a Chinese university in Hungary. Opponents see a chance to turn his nationalist rhetoric against him - CNN,0.68283343,3004,Hungary plans referendum on law criticized by EU as homophobic - CNN,0.6576804,2745,Marko Arnautovic: Austria forward banned for one game after 'insulting' opposition at Euro 2020 - CNN,0.58726084,3195,Eastern Europe was once a world leader on gay rights. Then it ran out of scapegoats - CNN,0.5785777,2668,Germany vs. Hungary: UEFA facing criticism over its position on rainbow colors  - CNN,0.57049954,0.4,0.6,0.4,0.6,0.6153704,0.57049954,0.68283343
2539,Arsenal's Europa League exit an 'embarrassment' as club lurches towards yet another crisis  - CNN,sport,sport,football,football,1452,Arsenal knocked out of FA Cup after defeat by Southampton - CNN,0.7621579,3212,Manchester City smashes Arsenal 5-0 as Gunners drop to bottom of Premier League - CNN,0.6537348,1963,Arsenal vs. Tottenham: Erik Lamela scores stunning rabona goal but is sent off as Arsenal overcome rivals in North London Derby - CNN,0.63786995,2382,Europa League final: Villarreal defeats Manchester United in dramatic penalty shootout to win first major European trophy - CNN,0.61867505,4647,Barcelona dumped out of Champions League group stage after Bayern Munich defeat  - CNN,0.60865396,1.0,1.0,1.0,1.0,0.65621835,0.60865396,0.7621579
1466,European countries mandate medical-grade masks over cloth face coverings - CNN,news,health,europe,health,3172,"Face masks will be a 'personal choice' in England, says UK minister - CNN",0.68488944,1458,"Covid variant found in UK may be more deadly than others, says Boris Johnson - CNN",0.5670711,4703,Making Covid-19 vaccines mandatory was once unthinkable. But European countries are showing it can work - CNN,0.55366087,3545,Germans shocked by killing of cashier after Covid mask argument - CNN,0.54507893,2035,Switzerland votes to ban face covering - CNN,0.5346366,1.0,0.2,0.6,0.2,0.5770674,0.5346366,0.68488944
1755,Adam Traoré: New medical report may shed light on Frenchman's death in police custody - CNN,news,health,europe,health,696,Alex Zanardi transferred to specialist neuro-rehabilitation center after crash - CNN,0.5005893,4075,"French former police officer identified as serial killer and rapist, ending 35-year hunt - CNN",0.49632257,2713,"Far-right extremist who threatened top Belgian doctor appears to have killed himself, prosecutor says - CNN",0.4951759,3698,Jean-Pierre Adams: The 39-year coma that didn't stop love - CNN,0.4737413,2240,"Paris shooter is on the run, leaving behind one dead and one injured  - CNN",0.46744317,0.6,0.4,0.6,0.4,0.48665446,0.46744317,0.5005893
3180,Harry and William are working together again - CNN,news,politics,uk,politics,2723,What to expect when Prince Harry heads back to London - CNN,0.83828044,2273,Meghan and Harry say Prince Philip will be 'greatly missed' - CNN,0.60653144,2607,Prince Harry tells award winners Diana would have been 'so proud' - CNN,0.5939156,2145,Prince Louis turns 3 and there's a new photo to mark the occasion - CNN,0.5856683,3386,Inside Harry and Meghan's Montecito mansion - CNN,0.55720973,1.0,0.2,1.0,0.2,0.63632107,0.55720973,0.83828044
3929,South Korean speed skater Shim Suk-hee barred from training following leaked text messages - CNN,sport,news,sport,asia,631,Opinion: What to do about the social media shaming of figure skater Zhu Yi - CNN,0.6220361,4510,"Peng Shuai: Chinese tennis star denies making sexual assault allegation against Zhang Gaoli, but WTA concerns persist - CNN",0.54665303,3411,Chen Qingchen: Chinese badminton player's cursing at Tokyo Olympics riles South Koreans - CNN,0.5407526,3249,South Korea: Paralympic basketball team inspired by coach who died of cancer - CNN,0.5363364,647,Erin Jackson: World No. 1 speedskater is going to Beijing 2022 after teammate gives up place - CNN,0.5318196,0.8,0.6,0.6,0.6,0.5555195,0.5318196,0.6220361
