Index,Headline,category,section,neighbor_1_index,neighbor_1_headline,neighbor_1_similarity,neighbor_2_index,neighbor_2_headline,neighbor_2_similarity,neighbor_3_index,neighbor_3_headline,neighbor_3_similarity,neighbor_4_index,neighbor_4_headline,neighbor_4_similarity,neighbor_5_index,neighbor_5_headline,neighbor_5_similarity,same_category_neighbor_ratio,same_section_neighbor_ratio,mean_neighbor_similarity,minimum_neighbor_similarity,maximum_neighbor_similarity
28,Biden's plan to reshape the Fed just hit a hurdle - CNN,business,economy,374,Opinion: The government can't run on short-term spending bills - CNN,0.5176108,233,The 10 Senate seats most likely to flip in 2022 - CNNPolitics,0.49715495,1657,How Biden fared in front of world leaders during his (virtual) global debut as US President - CNN,0.46156538,227,Analysis: How Republicans can still screw up 2022 - CNNPolitics,0.45741165,1291,Fears of unlikely federal gun-control measures lead to raft of state laws - CNNPolitics,0.44947183,0.2,0.0,0.4766429,0.44947183,0.5176108
29,Shell's directors face legal action from climate group shareholder - CNN,business,business,971,California and nearly a dozen other states want companies to reveal the financial risks of the climate crisis - CNN,0.45120257,3753,European Parliament sues Commission over 'failure' to apply rule of law powers - CNN,0.43899894,1521,France taken to court over 'climate inaction' in landmark case - CNN,0.4357193,2134,"France not doing enough to tackle climate change, court rules  - CNN",0.42812777,3842,EU Parliament to file lawsuit against Commission over 'failure' to punish countries who 'violate' rule of law - CNN,0.40100676,0.2,0.0,0.43101105,0.40100676,0.45120257
30,Gravity could solve renewable energy's biggest problem - CNN,business,energy,4486,Energy: The world is addicted to natural gas. Fossil fuel companies are fighting to keep it that way - CNN,0.4321074,2666,This 'nano factory' fits inside a shipping container  - CNN,0.391127,891,Bill Gates: Your question (and his response) - CNN,0.36023992,3883,"Heat pumps explained: UK offers homeowners almost $7,000 to buy one. But what are they? - CNN",0.34023374,49,"Electric robots are mapping the seafloor, Earth's last frontier - CNN",0.32894623,0.2,0.0,0.37053087,0.32894623,0.4321074
31,Ford will start shipping Explorers without all the parts -- and add them later - CNN,business,business,0,"There's a shortage of truckers, but TuSimple thinks it has a solution: no driver needed - CNN",0.50887644,4490,Shelf-climbing robots are helping warehouses meet the holiday rush - CNN,0.37925398,32,Tesla's cruise control woes put damper on 'full self-driving' hopes  - CNN,0.35531354,49,"Electric robots are mapping the seafloor, Earth's last frontier - CNN",0.34948003,203,Self-driving robotaxis are taking off in China - CNN,0.34662324,0.6,0.0,0.38790947,0.34662324,0.50887644
32,Tesla's cruise control woes put damper on 'full self-driving' hopes  - CNN,business,cars,203,Self-driving robotaxis are taking off in China - CNN,0.43784446,0,"There's a shortage of truckers, but TuSimple thinks it has a solution: no driver needed - CNN",0.42961693,3178,Lewis Hamilton extends Mercedes contract to 2023 - CNN,0.38854927,4609,Formula One: An important year comes to its thrilling conclusion  - CNN,0.38315636,1926,Fernando Alonso: 'Hopefully I'm back as a better driver'  - CNN,0.37956178,0.2,0.0,0.40374574,0.37956178,0.43784446
33,NASA says American aboard International Space Station will come back on Russian rocket 'for sure' - CNN,business,tech,2159,Russia plans to launch own space station after quitting ISS - CNN,0.64417183,1532,Alexey Navalny says he will return to Russia on Sunday after being poisoned - CNN,0.5537242,1814,Europe talks the talk in criticizing Putin. Russia's opposition is waiting for it to walk the walk - CNN,0.52659017,4598,Russia's Vladimir Putin told Biden he would 'really like' to meet - CNN,0.47118032,1490,Alexey Navalny detained on return to Moscow five months after being poisoned - CNN,0.46014714,0.0,0.0,0.5311627,0.46014714,0.64417183
34,Pete Davidson and five paying customers to fly on Jeff Bezos' suborbital rocket - CNN,business,tech,431,Pete Davidson in talks to head to space on Jeff Bezos' Blue Origin - CNN,0.84857064,471,'Super Pumped: The Battle for Uber' review: Joseph Gordon-Levitt and Kyle Chandler star in Showtime's latest tech titan takedown - CNN,0.42433757,158,Amazon's going to Nollywood -- and its deals with studios could shake up one of the world's most prolific filmmaking hubs - CNN,0.37244582,2732,U.S. Open: Brooks Koepka vs. Bryson DeChambeau -- Why everyone is talking about golf's new rivalry - CNN,0.3642683,2988,Aviation enthusiast potentially saves pilot's life after seeing sparks coming from his plane - CNN,0.36271787,0.0,0.0,0.47446805,0.36271787,0.84857064
35,India's young investors prefer crypto to gold and 'boring' stocks - CNN,business,investing,37,India budget 2022: Digital rupee and crypto tax announced - CNN,0.54635936,358,Opinion: China's digital yuan shows why we still need cryptocurrencies like bitcoin - CNN,0.5089398,40,India IPOs: 2021 was a dramatic year for tech. The hype won't go away in 2022 - CNN,0.4846664,39,"India's got SaaS, the next big thing in tech, and it could be worth $1 trillion - CNN",0.48013884,13,Russia may have found a buyer for its cheap oil: India - CNN,0.4478693,1.0,0.4,0.49359474,0.4478693,0.54635936
37,India budget 2022: Digital rupee and crypto tax announced - CNN,business,investing,40,India IPOs: 2021 was a dramatic year for tech. The hype won't go away in 2022 - CNN,0.5488617,35,India's young investors prefer crypto to gold and 'boring' stocks - CNN,0.54635936,358,Opinion: China's digital yuan shows why we still need cryptocurrencies like bitcoin - CNN,0.53634346,39,"India's got SaaS, the next big thing in tech, and it could be worth $1 trillion - CNN",0.4715352,13,Russia may have found a buyer for its cheap oil: India - CNN,0.42049652,1.0,0.4,0.50471926,0.42049652,0.5488617
38,Adar Poonawalla: He vaccinates half the world's babies. Ending the pandemic proved much harder - CNN,business,business,1431,Covid vaccine: Sanofi to help produce 100 million Pfizer/BioNTech vaccine doses - CNN,0.58449435,1416,"German officials say AstraZeneca vaccine shouldn't be given to over-65s, citing lack of data - CNN",0.5619209,1570,Moderna approved in EU: European Union authorizes Moderna's Covid-19 vaccine - CNN,0.552951,757,India's Covid-19 crisis: Why I'm grateful I lost my parents before the current surge - CNN,0.53773993,2142,Malaria vaccine breakthrough as promising trial rises hopes of controlling disease - CNN,0.53730357,0.0,0.0,0.55488193,0.53730357,0.58449435
39,"India's got SaaS, the next big thing in tech, and it could be worth $1 trillion - CNN",business,tech,40,India IPOs: 2021 was a dramatic year for tech. The hype won't go away in 2022 - CNN,0.5927242,875,Nigeria's 'techpreneurs' are using technology to provide life-changing solutions - CNN,0.5173249,35,India's young investors prefer crypto to gold and 'boring' stocks - CNN,0.48013884,37,India budget 2022: Digital rupee and crypto tax announced - CNN,0.4715352,182,Ghana: How these companies going green could pay off for the country and the planet - CNN,0.45831668,0.6,0.0,0.504008,0.45831668,0.5927242
40,India IPOs: 2021 was a dramatic year for tech. The hype won't go away in 2022 - CNN,business,investing,39,"India's got SaaS, the next big thing in tech, and it could be worth $1 trillion - CNN",0.5927242,37,India budget 2022: Digital rupee and crypto tax announced - CNN,0.54886174,35,India's young investors prefer crypto to gold and 'boring' stocks - CNN,0.48466635,2127,IPL: Lucrative cricket tournament continues amid India's alarming Covid-19 surge  - CNN,0.4686644,24,"Economic growth in 2022: China had a surprisingly good start, but it may not last - CNN",0.4287008,0.8,0.4,0.50472355,0.4287008,0.5927242
41,Key supply of diamonds caught up in Russia sanctions - CNN,business,business,7,Russian energy investment ban part of new EU sanctions wave  - CNN,0.5685195,2594,Putin says US sanctions on Russia 'even did us good' - CNN,0.4746641,45,"Wheat futures are soaring, and food prices could be next - CNN",0.47358227,166,"Higher food prices, slumping trade: How the war in Ukraine could hit Africa - CNN",0.46163738,4,Russia is no longer an option for investors. These emerging markets are - CNN,0.45752376,0.8,0.6,0.4871854,0.45752376,0.5685195
43,"Ukraine halts half of world's neon output for chips, clouding outlook - CNN",business,tech,45,"Wheat futures are soaring, and food prices could be next - CNN",0.5184574,2078,Russia shows off new Covid-19 vaccine factory even as its people hesitate to get the shot - CNN,0.47858506,317,Premarket stocks: China's new Covid lockdowns are another threat to the economy - CNN,0.47751695,368,Opinion: The US is starting to make a manufacturing comeback. Here's how to sustain it - CNN,0.46293896,344,Opinion: What Russia's invasion of Ukraine could mean for the US economic recovery - CNN,0.4577229,0.8,0.0,0.47904426,0.4577229,0.5184574
44,Soaring nickel prices could be the next major headache for automakers - CNN,business,business,344,Opinion: What Russia's invasion of Ukraine could mean for the US economic recovery - CNN,0.51603484,45,"Wheat futures are soaring, and food prices could be next - CNN",0.48071218,166,"Higher food prices, slumping trade: How the war in Ukraine could hit Africa - CNN",0.47442532,350,Opinion: Soaring gas prices are hurting Americans. It's time for more stimulus checks - CNN,0.47258133,4,Russia is no longer an option for investors. These emerging markets are - CNN,0.45891547,1.0,0.4,0.48053384,0.45891547,0.51603484
45,"Wheat futures are soaring, and food prices could be next - CNN",business,business,46,War has brought the world to the brink of a food crisis - CNN,0.75062966,166,"Higher food prices, slumping trade: How the war in Ukraine could hit Africa - CNN",0.73532915,344,Opinion: What Russia's invasion of Ukraine could mean for the US economic recovery - CNN,0.59376407,336,No end to America's rising prices: Another inflation measure rose in January - CNN,0.5339843,43,"Ukraine halts half of world's neon output for chips, clouding outlook - CNN",0.5184574,1.0,0.4,0.6264329,0.5184574,0.75062966
46,War has brought the world to the brink of a food crisis - CNN,business,business,45,"Wheat futures are soaring, and food prices could be next - CNN",0.75062966,166,"Higher food prices, slumping trade: How the war in Ukraine could hit Africa - CNN",0.5595931,344,Opinion: What Russia's invasion of Ukraine could mean for the US economic recovery - CNN,0.5069288,839,US Food Banks survive coronavirus demand to face new problems: supply chain disruption and rising food prices - CNN,0.49643165,329,How to manage your money amid global unrest - CNN,0.49007177,0.8,0.4,0.560731,0.49007177,0.75062966
47,These apps are trying to put car dealers out of business - CNN,business,business,161,Opibus: The mobility startup converting Kenya to electric vehicles - CNN,0.4443835,3440,Pizza and taxi rides used to lure UK youth into getting Covid-19 vaccination - CNN,0.42671186,0,"There's a shortage of truckers, but TuSimple thinks it has a solution: no driver needed - CNN",0.39990473,203,Self-driving robotaxis are taking off in China - CNN,0.36989754,875,Nigeria's 'techpreneurs' are using technology to provide life-changing solutions - CNN,0.36563474,0.2,0.0,0.40130648,0.36563474,0.4443835
49,"Electric robots are mapping the seafloor, Earth's last frontier - CNN",business,tech,2674,Drones are helping to clean up the world's plastic pollution - CNN,0.4847684,3677,How floating islands can make urban waterways green and clean - CNN,0.4316563,161,Opibus: The mobility startup converting Kenya to electric vehicles - CNN,0.4308753,0,"There's a shortage of truckers, but TuSimple thinks it has a solution: no driver needed - CNN",0.4219721,4490,Shelf-climbing robots are helping warehouses meet the holiday rush - CNN,0.4053731,0.0,0.0,0.43492904,0.4053731,0.4847684
51,What rising Covid-19 infections in the UK and Europe could mean for the US - CNN,health,health,1539,UK coronavirus: Country enters 'worst point' of pandemic as cases rise and bodies pile up - CNN,0.79631114,3583,Here's how Covid-19 is hitting hospitals in five key European countries - CNN,0.7951822,1581,"As coronavirus cases spiral, Europe starts 2021 by extending lockdowns  - CNN",0.786955,1836,London records zero Covid-19 daily deaths for first time in six months as cases soar elsewhere in Europe - CNN,0.7605522,1533,Ireland has the world's highest Covid-19 rate. How did it go so wrong? - CNN,0.7482175,0.0,0.0,0.77744365,0.7482175,0.79631114
53,Here's what could lie ahead for the US in the third year of the pandemic  - CNN,health,health,1418,Could post-vaccine life mean we return to normal? Not just yet - CNN,0.7239612,2175,"Pandemic deaths are accelerating, WHO warns, as world records most cases ever in a single week - CNN",0.69558704,1539,UK coronavirus: Country enters 'worst point' of pandemic as cases rise and bodies pile up - CNN,0.6945394,3583,Here's how Covid-19 is hitting hospitals in five key European countries - CNN,0.66433656,4558,German health minister says there are not enough vaccines for start of 2022  - CNN,0.66086334,0.0,0.0,0.6878575,0.66086334,0.7239612
54,"A 4th dose of Covid-19 vaccine will be needed, Pfizer's CEO says, but the company is working on a shot to handle all variants - CNN",health,health,53,Here's what could lie ahead for the US in the third year of the pandemic  - CNN,0.65551704,2504,Italian woman accidentally given six shots of Covid-19 vaccine - CNN,0.6413357,3723,Australia Covid-19: Cases rise in Victoria despite lengthy lockdown - CNN,0.6109443,1458,"Covid variant found in UK may be more deadly than others, says Boris Johnson - CNN",0.5918038,4501,Premier League witnesses surge in Covid-19 cases with 77% of players double jabbed  - CNN,0.5906693,0.2,0.2,0.61805403,0.5906693,0.65551704
55,Dr. Sanjay Gupta: Is America ready to take the next step in its Covid-19 recovery? - CNN,health,health,757,India's Covid-19 crisis: Why I'm grateful I lost my parents before the current surge - CNN,0.6338006,53,Here's what could lie ahead for the US in the third year of the pandemic  - CNN,0.6233563,846,"Dr. Sanjay Gupta: Resolutions for making 2022 a better, healthier year - CNN",0.61171144,1539,UK coronavirus: Country enters 'worst point' of pandemic as cases rise and bodies pile up - CNN,0.5735317,1523,"England considers putting Covid patients in hotels, as study reveals deep trauma among ICU workers - CNN",0.56283224,0.4,0.4,0.60104644,0.56283224,0.6338006
56,Only 2% of Americans now live in counties with high Covid-19 levels - CNN,health,health,2675,Some Sydney residents confined to city as Covid cases surge - CNN,0.5443073,1458,"Covid variant found in UK may be more deadly than others, says Boris Johnson - CNN",0.5074182,3172,"Face masks will be a 'personal choice' in England, says UK minister - CNN",0.4868611,3353,Australia expands Covid-19 lockdown as Sydney records its highest daily case count - CNN,0.48256588,4328,"The US and Europe have finally reconnected, but they're moving in different directions on Covid-19 - CNN",0.4688475,0.0,0.0,0.498,0.4688475,0.5443073
57,'The Gilded Age' reminds us that the Black elite existed and thrived - CNN,entertainment,entertainment,475,'The Gilded Age' review: Julian Fellowes' sprawling new drama shines as an American version of 'Downton Abbey' - CNN,0.5305346,865,"Black lives matter in children's books, too. That's why this couple started a non-profit  - CNN",0.47992778,1143,How Trump's victory turns into another 'Lost Cause' - CNN,0.3896879,1285,A young ballclub barnstorms the Deep South   - CNN,0.3650006,1040,What it means to be 'unapologetically black'  - CNN,0.36245644,0.2,0.2,0.42552146,0.36245644,0.5305346
59,Bob Saget's family granted permanent injunction to block the release of records - CNN,entertainment,entertainment,67,Bob Odenkirk would like to be more like Bob Saget  - CNN,0.5435688,4216,Analysis: A court battle is brewing over Prince Philip's will - CNN,0.47803938,1303,Compassionate release became a life-or-death lottery for thousands of federal inmates during the pandemic  - CNN,0.403907,3629,Prince Andrew's lawyers say sex abuse case is baseless and papers weren't properly served  - CNN,0.4015113,3598,"Prince Philip's will to be kept secret for 90 years, British court rules - CNN",0.3891911,0.2,0.2,0.4432435,0.3891911,0.5435688
61,Jane Campion apologizes for 'thoughtless' comment about Venus and Serena Williams - CNN,entertainment,entertainment,1741,Serena Williams finds top gear in Australian Open as sister Venus bows out - CNN,0.5126138,2878,Serena Williams wants to give Naomi Osaka a hug; others label her a 'princess' - CNN,0.49130952,2348,"Naomi Osaka withdraws from French Open, citing her mental health - CNN",0.49049544,1760,Serena and Venus Williams make dream start to Australian Open  - CNN,0.48910767,2452,Venus Williams tells umpire she 'can't control God' following time violation due to heavy winds - CNN,0.4830289,0.0,0.0,0.49331108,0.4830289,0.5126138
63,Rolling Stones announce new 'Sixty' tour  - CNN,entertainment,entertainment,4650,Keith Richards Fast Facts - CNN,0.5098077,3403,Mick Jagger Fast Facts - CNN,0.45709318,2380,John Stones believes Champions League final is just the 'beginning' for Manchester City - CNN,0.4195761,3558,Simone Biles excited for highly-anticipated Gold Over America Tour - CNN,0.3606215,1471,"Glastonbury 2021 canceled, with festival called off for second consecutive year - CNN",0.33487958,0.0,0.0,0.4163956,0.33487958,0.5098077
65,'The Kardashians' trailer has arrived and whoa baby - CNN,entertainment,entertainment,87,Kim Kardashian said 'It seems nobody wants to work' about women and people are angry - - CNN,0.6017839,2619,Nelly Korda 'glad to have joined' former pro tennis player dad as major champion after Women's PGA Championship victory - CNN,0.4282735,86, Grimes and Elon Musk secretly welcomed their second child in December - CNN,0.40418458,2586,Princess Charlotte: William and Kate release photo of their daughter for her sixth birthday - CNN,0.40189397,128,Patrick Mahomes marries high school sweetheart  - CNN,0.3939044,0.4,0.4,0.44600806,0.3939044,0.6017839
